Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
0;0,895926;3,000000;3,000000;9;2;0,050000;0,050000
1;1,183139;3,000000;3,000000;9;2;0,000000;0,000000
2;1,539066;3,000000;3,000000;9;2;0,000000;0,000000
3;1,687581;4,000000;4,000000;4;0;0,000000;0,000000
4;2,002899;4,000000;4,000000;4;0;0,000000;0,000000
5;2,284930;4,000000;4,000000;4;0;0,000000;0,000000
6;2,623673;5,000000;5,000000;5;0;0,000000;0,000000
7;2,709857;5,000000;5,000000;5;0;0,000000;0,000000
8;2,813071;5,000000;5,000000;5;0;0,000000;0,000000
9;3,008750;5,000000;5,000000;5;0;0,000000;0,000000
10;3,317500;5,000000;5,000000;5;0;0,000000;0,000000
11;3,698556;5,000000;5,000000;5;0;0,000000;0,000000
12;3,808679;6,000000;6,000000;6;0;0,000000;0,000000
13;4,076429;6,000000;6,000000;6;0;0,000000;0,000000
14;4,288250;6,000000;6,000000;6;0;0,000000;0,000000
15;4,472500;6,000000;6,000000;6;0;0,000000;0,000000
16;4,596250;6,000000;6,000000;6;0;0,000000;0,000000
17;4,807500;6,000000;6,000000;6;0;0,000000;0,000000
18;4,737083;6,000000;6,000000;6;0;0,000000;0,000000
19;4,780583;6,000000;6,000000;6;0;0,000000;0,000000
20;4,935000;6,000000;6,000000;6;0;0,000000;0,000000
21;4,899000;6,000000;6,000000;6;0;0,000000;0,000000
22;5,074667;6,000000;6,000000;6;0;0,000000;0,000000
23;5,056000;6,000000;6,000000;6;0;0,000000;0,000000
24;5,155333;7,000000;7,000000;7;0;0,000000;0,000000
25;5,340667;7,000000;7,000000;7;0;0,000000;0,000000
26;5,430303;7,000000;7,000000;7;0;0,000000;0,000000
27;5,450000;7,000000;7,000000;7;0;0,000000;0,000000
28;5,605000;7,000000;7,000000;7;0;0,000000;0,000000
29;5,525167;7,000000;7,000000;7;0;0,000000;0,000000
30;5,744667;7,000000;7,000000;7;0;0,000000;0,000000
31;5,734833;7,000000;7,000000;7;0;0,000000;0,000000
32;5,941111;7,000000;7,000000;7;0;0,000000;0,000000
33;5,917500;7,000000;7,000000;7;0;0,000000;0,000000
34;5,977500;8,000000;8,000000;8;0;0,000000;0,000000
35;6,043056;8,000000;8,000000;8;0;0,000000;0,000000
36;5,974833;7,000000;8,000000;8;0;0,000000;0,000000
37;6,193333;7,000000;8,000000;8;0;0,000000;0,000000
38;6,242500;8,000000;8,000000;8;0;0,000000;0,000000
39;6,437500;8,000000;8,000000;8;0;0,000000;0,000000
40;6,483929;8,000000;8,000000;8;0;0,000000;0,000000
41;6,556667;8,000000;8,000000;8;0;0,000000;0,000000
42;6,621429;8,000000;8,000000;8;0;0,000000;0,000000
43;6,666000;8,000000;8,000000;8;0;0,000000;0,000000
44;6,774091;8,000000;8,000000;8;0;0,000000;0,000000
45;7,080000;8,000000;8,000000;8;0;0,000000;0,000000
46;7,117552;8,000000;8,000000;8;0;0,000000;0,000000
47;7,137212;8,000000;8,000000;8;0;0,000000;0,000000
48;7,227500;9,000000;9,000000;9;0;0,000000;0,000000
49;7,407143;9,000000;9,000000;9;0;0,000000;0,000000
50;7,570000;9,000000;9,000000;9;0;0,000000;0,000000
51;7,492000;8,000000;9,000000;9;0;0,000000;0,000000
52;7,419500;8,000000;9,000000;9;0;0,000000;0,000000
53;7,398778;9,000000;9,000000;9;0;0,000000;0,000000
54;7,352917;9,000000;9,000000;9;0;0,000000;0,000000
55;7,466833;9,000000;9,000000;9;0;0,000000;0,000000
56;7,654125;9,000000;9,000000;9;0;0,000000;0,000000
57;7,648750;9,000000;9,000000;9;0;0,000000;0,000000
58;7,685714;9,000000;9,000000;9;0;0,000000;0,000000
59;7,555833;9,000000;9,000000;9;0;0,000000;0,000000
60;7,685833;9,000000;9,000000;9;0;0,000000;0,000000
61;7,677500;9,000000;9,000000;9;0;0,000000;0,000000
62;7,707500;9,000000;9,000000;9;0;0,000000;0,000000
63;7,680000;9,000000;9,000000;9;0;0,000000;0,000000
64;7,666667;9,000000;9,000000;9;0;0,000000;0,000000
65;7,622500;9,000000;9,000000;9;0;0,000000;0,000000
66;7,897500;9,000000;9,000000;9;0;0,000000;0,000000
67;7,805000;9,000000;9,000000;9;0;0,000000;0,000000
68;7,857500;9,000000;9,000000;9;0;0,000000;0,000000
69;7,817500;9,000000;9,000000;9;0;0,000000;0,000000
70;7,881667;9,000000;9,000000;9;0;0,000000;0,000000
71;7,953333;9,000000;9,000000;9;0;0,000000;0,000000
72;7,884167;9,000000;9,000000;9;0;0,000000;0,000000
73;7,886071;9,000000;9,000000;9;0;0,000000;0,000000
74;7,934000;9,000000;9,000000;9;0;0,000000;0,000000
75;8,030000;9,000000;9,000000;9;0;0,000000;0,000000
76;7,987500;9,000000;9,000000;9;0;0,000000;0,000000
77;8,005000;9,000000;9,000000;9;0;0,000000;0,000000
78;8,055417;9,000000;9,000000;9;0;0,000000;0,000000
79;8,038750;9,000000;9,000000;9;0;0,000000;0,000000
80;8,239750;9,000000;9,000000;9;0;0,000000;0,000000
81;8,239500;9,000000;9,000000;9;0;0,000000;0,000000
82;8,246167;9,000000;9,000000;9;0;0,000000;0,000000
83;8,072000;9,000000;9,000000;9;0;0,000000;0,000000
84;8,175000;9,000000;9,000000;9;0;0,000000;0,000000
85;8,162500;9,000000;9,000000;9;0;0,000000;0,000000
86;8,248750;9,000000;9,000000;9;0;0,000000;0,000000
87;8,311667;9,000000;9,000000;9;0;0,000000;0,000000
88;8,375000;9,000000;9,000000;9;0;0,000000;0,000000
89;8,243333;9,000000;9,000000;9;0;0,000000;0,000000
90;8,193333;9,000000;9,000000;9;0;0,000000;0,000000
91;8,128052;9,000000;9,000000;9;0;0,000000;0,000000
92;8,097909;9,000000;9,000000;9;0;0,000000;0,000000
