Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt
0;0,872603;2,333333;2,333333;7;2
1;1,221683;2,333333;2,333333;7;2
2;1,487384;2,333333;2,333333;7;2
3;1,771502;2,333333;2,333333;7;2
4;1,644161;2,333333;2,333333;7;2
5;1,881163;2,333333;2,333333;7;2
6;1,717385;2,333333;2,333333;7;2
7;1,728524;2,333333;2,333333;7;2
8;2,016798;2,333333;2,333333;7;2
9;2,117982;2,333333;2,333333;7;2
10;1,833214;2,333333;2,333333;7;2
11;2,667565;2,333333;2,333333;7;2
12;1,653202;2,333333;2,333333;7;2
13;1,511976;2,333333;2,333333;7;2
14;2,041839;1,400000;2,333333;7;2
15;1,538214;1,400000;2,333333;7;2
16;1,279286;1,400000;2,333333;7;2
17;1,278173;1,400000;2,333333;7;2
18;1,591054;1,400000;2,333333;7;2
19;1,335398;1,400000;2,333333;7;2
20;1,265833;1,400000;2,333333;7;2
21;1,499732;1,400000;2,333333;7;2
22;1,311071;1,400000;2,333333;7;2
23;1,245250;1,400000;2,333333;7;2
24;1,241083;1,400000;2,333333;7;2
25;1,272500;1,400000;2,333333;7;2
26;1,298778;1,400000;2,333333;7;2
27;1,160654;1,400000;2,333333;7;2
28;1,391692;1,400000;2,333333;7;2
29;1,383167;1,400000;2,333333;7;2
30;1,336139;1,400000;2,333333;7;2
31;1,760333;1,400000;2,333333;7;2
32;1,348500;1,400000;2,333333;7;2
33;1,563333;1,400000;2,333333;7;2
34;1,893500;1,400000;2,333333;7;2
35;1,994500;1,400000;2,333333;7;2
36;1,608333;1,400000;2,333333;7;2
37;1,536286;1,400000;2,333333;7;2
38;1,100000;1,400000;2,333333;7;2
39;1,306333;1,400000;2,333333;7;2
40;1,470000;1,400000;2,333333;7;2
41;1,489583;1,400000;2,333333;7;2
42;1,595000;1,400000;2,333333;7;2
43;1,266250;1,400000;2,333333;7;2
44;0,832500;1,400000;2,333333;7;2
45;1,102727;1,400000;2,333333;7;2
46;1,297619;1,400000;2,333333;7;2
47;1,315000;1,400000;2,333333;7;2
48;1,190000;1,400000;2,333333;7;2
49;1,250000;1,400000;2,333333;7;2
50;1,310000;1,400000;2,333333;7;2
51;1,301618;1,400000;2,333333;7;2
52;1,156324;1,400000;2,333333;7;2
53;1,199838;1,400000;2,333333;7;2
54;1,371178;1,400000;2,333333;7;2
55;1,197905;1,400000;2,333333;7;2
56;1,105455;1,400000;2,333333;7;2
57;0,970833;1,400000;2,333333;7;2
58;0,829930;1,400000;2,333333;7;2
59;1,053231;1,400000;2,333333;7;2
60;1,404615;1,400000;2,333333;7;2
61;1,186000;1,400000;2,333333;7;2
62;1,145500;1,400000;2,333333;7;2
63;1,162000;1,400000;2,333333;7;2
64;1,253333;1,400000;2,333333;7;2
65;1,371667;1,400000;2,333333;7;2
66;1,117143;1,400000;2,333333;7;2
67;0,873160;1,400000;2,333333;7;2
68;0,908636;1,400000;2,333333;7;2
69;1,213125;1,400000;2,333333;7;2
70;1,086538;1,400000;2,333333;7;2
71;1,067278;1,400000;2,333333;7;2
72;1,247083;1,400000;2,333333;7;2
73;1,246250;1,400000;2,333333;7;2
74;1,152381;1,400000;2,333333;7;2
75;1,372500;1,400000;2,333333;7;2
76;1,382500;1,400000;2,333333;7;2
77;1,395000;1,400000;2,333333;7;2
78;1,395000;1,400000;2,333333;7;2
79;1,397500;1,400000;2,333333;7;2
80;1,400000;1,400000;2,333333;7;2
81;1,400000;1,400000;2,333333;7;2
82;1,400000;1,400000;2,333333;7;2
83;1,400000;1,400000;2,333333;7;2
84;1,400000;1,400000;2,333333;7;2
85;1,400000;1,400000;2,333333;7;2
86;1,400000;1,400000;2,333333;7;2
87;1,400000;1,400000;2,333333;7;2
88;1,400000;1,400000;2,333333;7;2
89;1,400000;1,400000;2,333333;7;2
90;1,400000;1,400000;2,333333;7;2
91;1,400000;1,400000;2,333333;7;2
92;1,400000;1,400000;2,333333;7;2
93;1,400000;1,400000;2,333333;7;2
94;1,400000;1,400000;2,333333;7;2
95;1,400000;1,400000;2,333333;7;2
96;1,400000;1,400000;2,333333;7;2
97;1,400000;1,400000;2,333333;7;2
98;1,400000;1,400000;2,333333;7;2
99;1,400000;1,400000;2,333333;7;2
100;1,400000;1,400000;2,333333;7;2
101;1,400000;1,400000;2,333333;7;2
102;1,400000;1,400000;2,333333;7;2
103;1,400000;1,400000;2,333333;7;2
104;1,400000;1,400000;2,333333;7;2
105;1,400000;1,400000;2,333333;7;2
106;1,400000;1,400000;2,333333;7;2
