Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt
0;0,374833333;2;2;2;0
1;0,618333333;2;2;2;0
2;0,595;2;2;2;0
3;0,818;2;2;2;0
4;1,284;2;2;2;0
5;1,446;2;2;2;0
6;1,502;2;2;2;0
7;1,71;2;2;2;0
8;1,91;2;2;2;0
9;2;2;2;2;0
10;2;2;2;2;0
11;2;2;2;2;0
12;2;2;2;2;0
13;2;2;2;2;0
14;2;2;2;2;0
15;2;2;2;2;0
16;2;2;2;2;0
17;2;2;2;2;0
18;2;2;2;2;0
19;2;2;2;2;0
20;2;2;2;2;0
21;2;2;2;2;0
22;2;2;2;2;0
23;2;2;2;2;0
24;2;2;2;2;0
25;2;2;2;2;0
26;2;2;2;2;0
27;2;2;2;2;0
28;2;2;2;2;0
29;2;2;2;2;0
30;2;2;2;2;0
31;2;2;2;2;0
32;2;2;2;2;0
33;2;2;2;2;0
34;2;2;2;2;0
35;2;2;2;2;0
36;2;2;2;2;0
37;2;2;2;2;0
38;2;2;2;2;0
39;2;2;2;2;0
40;2;2;2;2;0
41;2;2;2;2;0
42;2;2;2;2;0
43;2;2;2;2;0
44;2;2;2;2;0
45;2;2;2;2;0
46;2;2;2;2;0
47;2;2;2;2;0
48;2;2;2;2;0
49;2;2;2;2;0
50;2;2;2;2;0
51;2;2;2;2;0
52;2;2;2;2;0
53;2;2;2;2;0
54;2;2;2;2;0
55;2;2;2;2;0
56;2;2;2;2;0
57;2;2;2;2;0
58;2;2;2;2;0
59;2;2;2;2;0
60;2;2;2;2;0
61;2;2;2;2;0
62;2;2;2;2;0
63;2;2;2;2;0
64;2;2;2;2;0
65;2;2;2;2;0
66;2;2;2;2;0
67;2;2;2;2;0
68;2;2;2;2;0
69;2;2;2;2;0
70;2;2;2;2;0
71;2;2;2;2;0
72;2;2;2;2;0
73;2;2;2;2;0
74;2;2;2;2;0
75;2;2;2;2;0
76;2;2;2;2;0
77;2;2;2;2;0
78;2;2;2;2;0
79;2;2;2;2;0
80;2;2;2;2;0
81;2;2;2;2;0
82;2;2;2;2;0
83;2;2;2;2;0
84;2;2;2;2;0
85;2;2;2;2;0
86;2;2;2;2;0
87;2;2;2;2;0
88;2;2;2;2;0
89;2;2;2;2;0
90;2;2;2;2;0
91;2;2;2;2;0
92;2;2;2;2;0
93;2;2;2;2;0
94;2;2;2;2;0
95;2;2;2;2;0
96;2;2;2;2;0
97;2;2;2;2;0
98;2;2;2;2;0
99;2;2;2;2;0
